name,location_city,location_neighborhood,location_coordinates,categories_0,bio_summary,bio_url,bio_birthdate,bio_deathdate,bio_yearsActiveStart,bio_yearsActiveEnd,youtube_clipExampleUrl,categories_1,categories_2
Luh tyler,Tallahassee,," -84.29687037777308, 30.442660146160325",rapper,"Tyler Meeks, better known as Luh Tyler. I an American rapper from Tallahassee, Florida. ",https://eu.tallahassee.com/story/news/local/2023/02/06/luh-tyler-emerging-tallahassee-rapper-rolling-loud-music-festival-california/69849495007/,2006-02-20T00:00:00.000Z,,2022,,https://www.youtube.com/embed/NquCKXE95L4,,
Aya Nakamura,Aulnay-sous-Bois,,"2.490266442733566, 48.941836029572535",singer,"Aya Coco Danioko (born 10 May 1995), known by her stage name Aya Nakamura, is a Malian-French singer from Aulnay-sous-Bois (Seine-Saint-Denis).",https://en.wikipedia.org/wiki/Aya_Nakamura,1995-05-10T00:00:00.000Z,,2015,,https://www.youtube.com/embed/5vQbt2PxVE8,,
Roedel,Antwerp,,"4.414546381353945, 51.212458165765334",group,"Roedel is a six-piece rap collective from Antwerp composed of So Luie Louis, Mitxelena, Rikky Rozay, Brakka Briesje, Tusais and Stef.",https://www.trixonline.be/nl/artiest/roedel-be/1231/?f=2078,,,2017,,https://www.youtube.com/embed/EjnUliZfS8E,,
Luie Louis,Antwerp,,"4.419766073018593, 51.19776259437585",producer / dj,"Luie Louis is a rapper/producer from Antwerp. In 2017, he put himself on the map of the Flemish hip-hop landscape with his debut album 'LoveLifeLouis'. With the record with features from NAG, Zwangere Guy, Blu Samu, among others, he toured the country and flattened many halls. Around this period he also started a band on 'De Luie Live band' (something that was unique at the moment in the Flemish scene) released a record called 'The golden Classics' and toured with it.",https://busker.be/artists/luie-louis/,,,2017,,https://www.youtube.com/embed/YFZHWSYn-xQ,rapper,
Kerchak,Bois Colombe,,"2.2751423101474217, 48.90991788079845",rapper,"Kerchak (born Feb 19 2004) is a French rapper from Bois Colombe, Hauts-de-Seine, Iles de france. He is one of the major representatives of the Jersey Drill subgenre in France.",,2004-02-19T00:00:00.000Z,,2019,,https://www.youtube.com/embed/AoxSXpWpr68,,
Young Slo be,Stockton,Nightingale,"-121.24718434006944, 37.93827901324217",rapper,"Disean Jaquae Victor (1992 - August 5, 2022), better known as Young Slo-Be, was a rapper from Nightingale neighborhood Stockton, California. He was murdered in 2022, at the age of 29.",https://genius.com/artists/Young-slo-be,,2022-08-05T00:00:00.000Z,2010,2022.0,https://www.youtube.com/embed/069bthsVQJA,,
Blu Samu,Antwerp,,"4.4040621938141555, 51.210938453902315",rapper,"Salomé Dos Santos, know as Blue Samu (born 1995), is a rapper and singer from Belgium. Her music is a mix between hiphop, soul , brazilian and funk. She sings in dutch, french and english.",https://nl.wikipedia.org/wiki/Blu_Samu,,,2017,,https://www.youtube.com/embed/4-wAcNg0mnI,singer,
Peet,Laeken,Laeken,"4.348076926675185, 50.88042921651576",producer / dj,"Beatmaker and rapper since 2012, Peet is a member of  ""Le 77"" who also works on solo projets.",https://www.rtbf.be/article/peet-un-incontournable-du-rap-belge-dans-decibels-10730987,,,2012,,https://www.youtube.com/embed/GaO2MDl2qBA,rapper,
Le 77,Laeken,,"4.347689185240174, 50.880180168713764",group,"Rap group from Laeken. It is made up of two rappers (Peet and Félé Flingue), a composer (Morgan) and a manager (Rayan). Their name comes from the number of their collocation.",https://fr.wikipedia.org/wiki/Le_77,,,2016,,https://www.youtube.com/embed/4HYpWVdXnhI,,
OKI,Lubin,,"16.18634438977391, 51.40480405774521",rapper,"Oskar Kami%u0144ski (born 1998), known professionally as Oki, is a rapper, singer from Lubin, Poland.",https://en.wikipedia.org/wiki/Oki_(rapper),,,2013,,https://youtube.com/embed/wlOdTniCvt0,singer,
Rx Papi,Rochester,,"-77.6021545297484, 43.15900115688375",rapper,"Chester Author Roscoe (born May 17, 1995), known professionally as Rx Papi (Previously Lil Fleechy), is an American rapper from Rochester, New York.",https://genius.com/artists/Rx-papi,1995-12-05T00:00:00.000Z,,2018,,https://www.youtube.com/embed/30Oisui-ozs,,
RXK Nephew,Rochester,Carson,"-77.57113939533346, 43.16376676575003",rapper,"Kristopher Kevon Williams (born February 1, 1995), known professionally as RXK Nephew (formerly DrugRixh Nephew and Rx Nephew), is an American rapper from Rochester, New York.",https://en.wikipedia.org/wiki/RXK_Nephew,1995-02-01T00:00:00.000Z,,2019,,https://www.youtube.com/embed/ZcEyaQHHsow,,
Rio Da Young Og,Flint,,"-83.70204173128279, 43.02901871945766",rapper,"Da'mario Donshay Horne-McCullough (born May 11, 1994), better known by his stage name Rio Da Yung OG, is an American rapper from Flint, Michigan. ",https://www.last.fm/music/Rio+Da+Yung+OG/+wiki,1994-05-11T00:00:00.000Z,,2018,,https://www.youtube.com/embed/60733d_atNo,,
Bandgang Lonnie Bands,Detroit,,"-83.18638903600569, 42.397059301716254",rapper,"BandGang Lonnie Bands (born 25th of July 1995) is an american rapper from Detroit, Michigan. He is a member of the Band Gang collective.",https://everipedia.org/wiki/lang_en/bandgang-lonnie-bands,1995-07-25T00:00:00.000Z,,2008,,https://www.youtube.com/embed/eMB_RsrEpoE,,
Art Melody,Ouagadougou,,"-1.5380337127271717, 12.365947807089334",rapper,"Art Melody (born January 1, 1978) is a rapper from Ouagadougou, Burkina Faso.",https://www.artmelodyofficial.com/,1978-01-01T00:00:00.000Z,,2009,,https://www.youtube.com/embed/TnociTgk9cQ,,
Ka,New york,Brownsville," -73.910514, 40.657784",producer / dj,"Kaseem Ryan (born August 11 1972), better known by his stage name Ka, is an American rapper, producer, and firefighter from Brownsville, Brooklyn, New York. ",https://en.wikipedia.org/wiki/Ka_(rapper),1972-08-11T00:00:00.000Z,,2000,,https://www.youtube.com/embed/vKlCUHjU7p4,rapper,
Benny the Butcher,Buffalo,,"-78.80600628483059, 42.89297132773814",rapper,"Jeremie Damon Pennick (born November 27, 1984), known professionally as Benny the Butcher or simply Benny, is an American rapper. He is part of the hip hop collective Griselda and of the collective Black Soprano Family. ",https://en.wikipedia.org/wiki/Benny_the_Butcher,1984-11-27T00:00:00.000Z,,2004,,https://www.youtube.com/embed/CJ8KkCsJqws,,
Joe Blow,Oakland,,"-122.27879765306561, 37.814792655782725",rapper,"Joe blow (born on June 1, 1977), is an American Rapper from Oakland, California. ",https://www.discogs.com/artist/1571204-Joe-Blow-5,1977-01-06T00:00:00.000Z,,2011,,https://www.youtube.com/embed/60cE6IzNuYI,,
Brotha Lynch Hung,Sacramento,,"-121.49719994513998, 38.488991796226244",rapper,"Kevin Danell Mann (born January 10, 1976), better known by his stage name Brotha Lynch Hung, is an American rapper and record producer from Sacramento.  ",https://en.wikipedia.org/wiki/Brotha_Lynch_Hung,1976-10-01T00:00:00.000Z,,1986,,https://www.youtube.com/embed/DersACMV0KI,,
Karima,Marseille,,"5.373015329907718, 43.30515959087097",singer,"Karima (1973-2019) was a french singer from Marseille, Bouches-du-Rhône. She was an original member of the Fonky Family group, and gain recognition with the song Bad Boys de Marseille with Akhenaton. When the Fonky Family adopt a hardest rap style with less funk influence, she leave the group and disapear from the rap indistry. She died in 2019 of illness.",https://fr.wikipedia.org/wiki/Karima_(Fonky_Family),,2019-04-09T00:00:00.000Z,1995,1997.0,https://www.youtube.com/embed/_AKNGgSmhoY,,
Meryl,Saint-Esprit,,"-60.924208475314586, 14.562449133563934",rapper,"Cindy Elismar, known as Meryl (24 september 1995) is a french rapper, singer from Saint-Esprit, Martinique.   
",https://fr.wikipedia.org/wiki/Meryl_(chanteuse),1995-09-24T00:00:00.000Z,,2013,,https://www.youtube.com/embed/XfIefINb84U,,
Mc Kato,Prague,,"14.455642759574854, 50.07539364201512",producer / dj,"Adam Svato%u0161 (born June 16, 1979), known by his stage names MC Kato and Deph, is a Czech rapper, singer, songwriter, record producer and DJ.",https://en.wikipedia.org/wiki/MC_Kato,1979-06-16T00:00:00.000Z,,1994,,https://www.youtube.com/embed/zykjQzBflvQ,rapper,
Boldy James,Detroit,,"-83.216731, 42.415588",rapper,"James Clay Jones III (born August 9, 1982), better known by his stage name Boldy James, is an American rapper from Detroit, Michigan. 
",https://en.wikipedia.org/wiki/Boldy_James,1982-08-09T00:00:00.000Z,,2009,,https://www.youtube.com/embed/_TSmxbnEDD4,,
Tymon Smekta%u0142a,Wroc%u0142aw,,"17.044209762888944, 51.10247105349419",rapper,"Tymon Smekta%u0142a (born January 22, 1977) is a Polish rapper from Wroc%u0142aw, Poland.",https://pl.wikipedia.org/wiki/Tymon_Smekta%C5%82a,1977-01-22T00:00:00.000Z,,1998,,https://www.youtube.com/embed/x2ObPg68oME,,
Kid Frost,Los Angeles,,"-118.148988, 34.023321",rapper,"Arturo Molina Jr. (born May 31, 1964), better known as Kid Frost, is an American rapper, songwriter and record producer from Los Angeles, California.",https://en.wikipedia.org/wiki/Frost_(rapper),1964-05-31T00:00:00.000Z,,1984,2014.0,https://www.youtube.com/embed/bZ8AS300WH4,,
Maahlox,Yaounde,Obili,"11.488022, 3.860779",rapper,"Jean Jules Kenfack (January 16 1990), better known as Maahlox is a Cameroonian rap artist from Obili, Yaoundé.",,1990-01-16T00:00:00.000Z,,2013,,https://www.youtube.com/embed/VrCtzU0KcFI,,
Kreayshawn,Oakland,,"-122.2579, 37.7953",rapper,"Natassia Gail Zolot (born September 24, 1989), better known by her stage name Kreayshawn, is an American rapper from Oakland, California.

",https://en.wikipedia.org/wiki/Kreayshawn,1989-09-24T00:00:00.000Z,,2008,,https://www.youtube.com/embed/6WJFjXtHcy4,,
BEN plg,Lille,,"3.0587963, 50.6199954",rapper,"BEN plg is a french rapper from Lille.
",https://genius.com/artists/Ben-plg,,,2019,,https://www.youtube.com/embed/5uZVcnjBxq4,,
Insane Clown Posse,Detroit,Oak Park,"-83.179444, 42.467222",rapper,"Insane Clown Posse, often abbreviated as ICP, is an American hip hop duo from Oak Park, Detroit, Michigan. The group is composed of Violent J (Joseph Bruce) and Shaggy 2 Dope (originally 2 Dope; Joseph Utsler). The group has established a dedicated following called Juggalos.",https://en.wikipedia.org/wiki/Insane_Clown_Posse,,,1989,,https://www.youtube.com/embed/8hyMG3b05u0,,
Bubba Sparxxx,LaGrange,,"-85.036064, 33.034796",rapper,"Warren Anderson Mathis (born March 6, 1977), better known by his stage name Bubba Sparxxx, is an American rapper from LaGrange, Georgia.",https://en.wikipedia.org/wiki/Bubba_Sparxxx,1977-03-06T00:00:00.000Z,,1996,,https://www.youtube.com/embed/Trd49Da0gf0,,
Remy Ma,Bronx,Castle Hill Projects,"-73.850000, 40.819000",rapper,"Reminisce Mackie (May 30, 1980), known professionally as Remy Ma, is an American rapper from the Castle Hill Projects, The Bronx, New York.

",https://en.wikipedia.org/wiki/Remy_Ma,1980-05-30T00:00:00.000Z,,1999,,https://www.youtube.com/embed/C2WjyuC3vPs,,
Alligatoah,Neuenwalde,,"12.065584, 54.161598",producer / dj,"Lukas Strobel, better known by his stage name Alligatoah (born September 28, 1989), is a German rapper, singer, producer and DJ signed to the independent German hip hop record label Trailerpark.",https://en.wikipedia.org/wiki/Alligatoah,1989-09-28T00:00:00.000Z,,2006,,https://www.youtube.com/embed/Q27BkaOXrpc,rapper,
Marteria,Rostock,Lichtenhagen,"12.058210, 54.152053",rapper,"Marten Laciny (born 4 December 1982), better known by his stage name Marteria, is a German hip hop artist from Lichtenhagen, Rostock. ",https://en.wikipedia.org/wiki/Marteria,1982-12-04T00:00:00.000Z,,1998,,https://www.youtube.com/embed/FzOrzJ1dNQk,,
Blumentopf,Freising,,"11.748889, 48.402778",group,"Blumentopf (""Flower pot"") were a German hip hop band from Freising, near Munich. The band consisted of five members: rappers Cajus Heinzmann (Cajus, Heinemann, Master P), Bernhard Wunderlich (Holunder, Holundermann, Wunder), Florian Schuster (Flo, Kung Schu, Schu), Roger Manglus (Roger, Specht) and Sebastian Weiss (DJ Sepalot). ",https://en.wikipedia.org/wiki/Blumentopf,,,1992,2016.0,https://www.youtube.com/embed/oOxkf69HstE,,
Népal,Paris,,"2.3149943, 48.8284545",producer / dj,"Népal, born Clément Di Fiore (12/10/1990 - 9/11/2019) was a french rapper and beatmaker from Paris (14th). He was a member of the 75e Session crew.

 ",https://fr.wikipedia.org/wiki/N%C3%A9pal_(rappeur),1990-10-12T00:00:00.000Z,2019-11-09T00:00:00.000Z,2011,2019.0,https://www.youtube.com/embed/NwIxIAztiag,rapper,
Big Floyd,Houston,Cuney Homes,"-95.3611431, 29.7245131",rapper,"George Perry Floyd Jr. (October 14, 1973 %u2013 May 25, 2020) Better known as Big Floyd, was an american rapper from houston. He was a member of the Screwed Up Click. He was killed during an arrest in 2020. ",https://en.wikipedia.org/wiki/George_Floyd,1973-10-14T00:00:00.000Z,2020-05-25T00:00:00.000Z,1998,2004.0,https://www.youtube.com/embed/Jv-ZcmWiyXo?start=852,,
Obie Trice,Detroit,,"-83.251050, 42.390880",rapper,"Obie Trice III (born November 14, 1977) is an American rapper and songwriter from Detroit, Michigan.",https://en.wikipedia.org/wiki/Obie_Trice,1977-11-14T00:00:00.000Z,,2000,,https://www.youtube.com/embed/CwCWvn60L3w,,
Webbie,Baton Rouge,,"-91.170207, 30.472224",rapper,"Webster Gradney, Jr. (born September 6, 1985) also known as Webbie, is an American rapper from Baton Rouge, Louisiana. He's been signed to the independent Trill Entertainment label since 2003.",https://en.wikipedia.org/wiki/Webbie,1985-09-06T00:00:00.000Z,,2001,,https://www.youtube.com/embed/lXjkvJzZezc,,
Antipode,Orleans,,"1.908557, 47.902366",group,"Antipode was a rap group from Orleans, France. The group was also founder of the Nautilus Recordz, a label active in the underground rap scene of this period. The group was composed of Postillon & Rob Weed, Mariachi, Nemo et Zeertex.",https://nautilusrecordz.bandcamp.com/,,,2003,2008.0,https://www.youtube.com/embed/15QGM11xx4E,,
Berner,San Fransisco,Sunset District,"-122.488695, 37.744284",rapper,"Gilbert Anthony Milam Jr. (born October 27, 1981), better known by his stage name Berner, is an American rapper and entrepreneur from Sunset District, California. ",https://en.wikipedia.org/wiki/Berner_(rapper),1981-10-27T00:00:00.000Z,,2007,,https://www.youtube.com/embed/3HwgpvrXoZs,,
Westside Gunn,Buffalo,,"-78.832574, 42.911425",rapper,"Alvin Lamar Worthy (born July 27, 1982), known professionally as Westside Gunn, is an American rapper. He is the brother of fellow rapper Conway, with whom he forms the duo Hall N Nash, and the cousin of fellow Buffalo native rapper Benny the Butcher. He is the founder of the label Griselda Records.",https://en.wikipedia.org/wiki/Westside_Gunn,1982-07-27T00:00:00.000Z,,2012,,https://www.youtube.com/embed/kiZWaWXubIw,,
Da Uzi,Sevran,La boétie,"2.534586, 48.949295",rapper,"Da Uzi is a french rapper from La boétie, Sevran, Seine-Saint-Denis.",https://fr.wikipedia.org/wiki/Da_Uzi,,,2009,,https://www.youtube.com/embed/eRj5iHf6bUw,,
King Von,Chicago,Parkway Gardens," -87.615622, 41.778402",rapper,"Dayvon Daquan Bennett (August 9, 1994 %u2013 November 6, 2020), known professionally as King Von, was an American rapper and songwriter from Parkway Gardens, Chicago, Illinois. He was signed to Lil Durk's record label, Only the Family. ",https://en.wikipedia.org/wiki/King_Von,1994-08-09T00:00:00.000Z,2020-11-06T00:00:00.000Z,2018,2020.0,https://www.youtube.com/embed/luU7F7lvvjk,,
OMB Peezy,Sacramento,,"-121.438990, 38.572989",rapper,"OMB Peezy born LeParis Dade is an American rapper from Sacramento, California.",https://en.wikipedia.org/wiki/OMB_Peezy,,,2016,,https://www.youtube.com/embed/F6Rb5deZLkg,,
Sazamyzy and Hype,Bondy,,"2.482809, 48.902594",group,"Sazamyzy and Hype, is a french rap duo from Bondy.",,,,2010,2015.0,https://www.youtube.com/embed/u1LjKonqos4,,
Megan Thee Stallion,Peerland,,"-95.27013, 29.53917",rapper,"Megan Jovon Ruth Pete (born February 15, 1995), known professionally as Megan Thee Stallion (pronounced ""Megan the Stallion""), is an American rapper, singer, actress and songwriter from Peerland, Texas.",https://en.wikipedia.org/wiki/Megan_Thee_Stallion,1995-02-15T00:00:00.000Z,,2016,,https://www.youtube.com/embed/n5LWsc-qCdA,,
Futuristic,Tempe,,"-111.906853, 33.397917",rapper,"Zachary Lewis Beck (born June 2, 1991), known professionally as Futuristic, is an American rapper, singer from Tempe, Arizona.",https://en.wikipedia.org/wiki/Futuristic_(rapper),1991-06-02T00:00:00.000Z,,2010,,https://www.youtube.com/embed/py-6nu_douk,,
Souls of Mischief,Oakland,,"-122.199656, 37.774973",group,"Souls of Mischief is a hip hop group from Oakland, California, that is also part of the hip hop collective Hieroglyphics. The Souls of Mischief formed in 1991 and is composed of rappers A-Plus, Opio, Phesto, and Tajai.",https://en.wikipedia.org/wiki/Souls_of_Mischief,,,1991,,https://www.youtube.com/embed/fXJc2NYwHjw,,
Lionel D,Vitry-sur-Seine,,"2.399693, 48.781314",rapper,"Lionel Eguienta (1959 %u2013 February 26, 2020), known by the stage name Lionel D, was a French radio host and rapper. He is a rap pioneers in France along side Dee Nasty, with whom he hosted Deenastyle in the 1980s, on Radio Nova. ",https://en.wikipedia.org/wiki/Lionel_D,,2020-02-26T00:00:00.000Z,1981,1996.0,https://www.youtube.com/embed/mpXEdsHReQ8,,
Montana of 300,Chicago,,"-87.761385, 41.933501",rapper,"Walter Anthony ""Tony"" Bradford (born March 3, 1987), better known by his stage name Montana of 300 (or simply Montana), is an American rapper, from Chicago, Illinois.",https://en.wikipedia.org/wiki/Montana_of_300,1987-03-03T00:00:00.000Z,,2009,,https://www.youtube.com/embed/bA4xvmH3WSQ,,
City Morgue,New York City,," -73.992067, 40.756400",rapper,"City Morgue is an American hip hop group from New York City. Its members are ZillaKami from Bay Shore, SosMula from Harlem, and Thraxx from California as the producer.",https://en.wikipedia.org/wiki/City_Morgue,,,2017,,https://www.youtube.com/embed/zLkcZTcZa7U,,
Pop Smoke,Brooklyn,,"-73.899412, 40.638884",rapper,"Bashar Barakah Jackson (July 20, 1999 %u2013 February 19, 2020), known professionally as Pop Smoke, was an American rapper from Brooklyn, New York. Pop Smoke died on February 19, 2020, after being shot during a home invasion. ",https://en.wikipedia.org/wiki/Pop_Smoke,1999-07-20T00:00:00.000Z,2020-02-19T00:00:00.000Z,2018,2020.0,https://www.youtube.com/embed/usu0XY4QNB0,,
Ampichino,Akron,,"-81.565390, 41.074946",rapper,"Anthony Hunt (born 1976), better known by his stage name Ampichino or Amp, is an American rapper and producer from Akron, Ohio. He is a member of the group the Regime.",https://en.wikipedia.org/wiki/Ampichino,,,2002,,https://www.youtube.com/embed/dErbyFTj6PE,,
D'angelo,Richmond,," -77.43673306967241, 37.505342955332786",singer,"D'Angelo, born Michael Eugene Archer on February 11, 1974 in Richmond, Virginia is a Neo soul singer from the United States, pianist, guitarist, composer, and producer. ",https://en.wikipedia.org/wiki/D%27Angelo,,,1991,,https://www.youtube.com/embed/H_WzjiTzZBA,,
David Okit,Bruxelles,,"4.337983, 50.873462",rapper,David Okit (born 23/11/2000) is a Belgian rapper from Bruxelles.,https://genius.com/artists/David-okit,2000-11-23T00:00:00.000Z,,2018,,https://www.youtube.com/embed/7MczNRoHMj8,,
Lil Tecca,Queens,Springfield Gardens,"-73.778598, 40.669993",rapper,"Tyler-Justin Anthony Sharpe (born August 26, 2002), known professionally as Lil Tecca, is an American rapper form the Queens, that gained recognition upon releasing his breakout single, ""Ransom"" in 2019.",https://en.wikipedia.org/wiki/Lil_Tecca,2002-08-26T00:00:00.000Z,,2019,,https://www.youtube.com/embed/1XzY2ij_vL4,,
AZ,New-York,East New York,"-73.883902, 40.668758",rapper,"Anthony Cruz (born March 9, 1972), better known by his stage name AZ, is an American rapper from East New York, Brooklyn, New York. He is known for being a longtime and frequent music partner of Nas and also a member of hip hop group The Firm alongside Nas, Foxy Brown, Cormega and Nature.",https://en.wikipedia.org/wiki/AZ_(rapper),1972-03-09T00:00:00.000Z,,1992,,https://www.youtube.com/embed/uXzJkhtlKHE,,
Keak Da Sneak,Oakland,,"-122.204851, 37.788462",rapper,"Charles Kente Williams (Bowens) (born October 21, 1977), commonly known by his stage name Keak da Sneak, is a rapper from Oakland, California. ",https://en.wikipedia.org/wiki/Keak_da_Sneak,1977-10-21T00:00:00.000Z,,1992,,https://www.youtube.com/embed/KrH-VKYY3nw,,
Rich the factor,Kansas City,,"-94.594597, 38.977591",rapper,"Richard Johnson better known by is stage name Rich the factor is an american rapper from Kansas City, Missouri.",,,,1996,,https://www.youtube.com/embed/Ka_FUGJaLLo,,
Mo B. Dick,New Orleans,,"-90.107006, 29.939103 ",producer / dj,"Raymond Emile Poole (born July 4, 1965) better known by his stage name Mo B. Dick is an American rapper, singer, and music producer from New Orleans, Louisiana. He is a founding member of the production team the Medicine Men (formerly Beats by the Pound), which produced most of No Limit Records' releases from 1995 to 1999.",https://en.wikipedia.org/wiki/Mo_B._Dick,1965-07-04T00:00:00.000Z,,1988,,https://www.youtube.com/embed/PVaVaLjECe4,rapper,singer
Lalcko,Rouen,,"1.0870115301415122, 49.42150082257532",rapper,"Lalcko is a french rapper from of cameroonian origin from Rouen. He also spent a big part of is childhood in Creteil, Val-de-Marne.",,,,2003,,https://www.youtube.com/embed/eKbp8mWIRjI,,
Ness & Cité,Le Havre,Mont Gaillard,"0.112274, 49.526319",group,"Ness & Cité is a french Hip Hop group from Mont Gaillard neighborhood, Le Havre, Seine-Maritime. The group is composed by Sals'a et Proof, members of the La Boussole crew. They are the founder of DIN Label. ",https://fr.wikipedia.org/wiki/Ness_%26_Cit%C3%A9,,,1997,2003.0,https://www.youtube.com/embed/3T8koJtSOiY,,
Bouchées Double,Le Havre,,"0.105356, 49.523322",group,"Bouchées Double is a french rap group from Le Havre, Seine Maritine. Composed of Tiers Monde and Ibrah, the group is part of the La Boussole crew.",,,,1996,2006.0,https://www.youtube.com/embed/pidemaxM3C0,,
C-loc,Baton Rouge,,"-91.100857, 30.390861",rapper,"C-Loc also known as BiggDawg is an american rapper from Baton Rouge, Louisiana.",https://www.discogs.com/artist/195894-C-Loc,,,1995,,https://www.youtube.com/embed/M2bAmxuwsJs,,
Bad Azz,Long Beach,,"-118.179346, 33.799237",rapper,"Jamarr Antonio Stamps (November 27, 1975 %u2013 November 11, 2019), better known by his stage name Bad Azz, was an American rapper and member of Tha Dogg Pound Gangsta Crips. ",https://en.wikipedia.org/wiki/Bad_Azz_(rapper),1975-11-27T00:00:00.000Z,2019-11-11T00:00:00.000Z,1995,2019.0,https://www.youtube.com/embed/7tkTHueMSY8,,
FARS,Sofia,,"23.327386, 42.702212",group,"Fars is a Hip Hop Bulgarian group from Sofia composed of Nikolai Nesh, Filip Petrov and Negy.",https://www.last.fm/music/fars,,,2002,,https://www.youtube.com/embed/5I6fvRVEm8Q,,
Green Out,Skopje,,"21.437153, 42.010838",group,"Green Out is a hip hop group from Skopje, North Macedonia, formed by L.D. (Legalna Droga) Pistolero and Tonyo R.N.S.  ",https://www.last.fm/music/Green+out/+wiki,,,2004,,https://www.youtube.com/embed/iTtIPIIEoxo,,
Bad Copy,Belgrade,,"20.379389, 44.859577",group,"Bad Copy is a popular hip-hop trio group from Belgrade, Serbia known for their humorous lyrics and slang. The members are Ajs Nigrutin, Timbe and Wikluh Sky . Miki Boj, born Milan %u0160aponja, was active in the band until his death 1999.",https://en.wikipedia.org/wiki/Bad_Copy,,,1996,,https://www.youtube.com/embed/5OVY7MmSSYs,,
Young Bleed,Baton Rouge,,"-91.183936, 30.429113",rapper,"Glenn Clifton Jr., better known as Young Bleed is an American hip-hop artist based out of Baton Rouge, Louisiana. Young Bleed has been a mainstay of the Southern hip hop underground, narrating his vision of life in the urban South. ",https://en.wikipedia.org/wiki/Young_Bleed,,,1994,,https://www.youtube.com/embed/yGnMQsG4avI,,
NBA Young Boy,Baton Rouge,,"-91.150749, 30.464484",rapper,"Kentrell DeSean Gaulden (born October 20, 1999), known professionally as YoungBoy Never Broke Again (also known as NBA YoungBoy or simply YoungBoy), is an American rapper from Baton Rouge, Louisiana.",https://en.wikipedia.org/wiki/YoungBoy_Never_Broke_Again,1999-10-20T00:00:00.000Z,,2014,,https://www.youtube.com/embed/qXNuHTsSTv4,,
Jim Jones,Harlem,,"-73.944398, 40.794822",rapper,"Joseph Guillermo Jones II (born July 15, 1976), better known by his stage name Jim Jones (formerly Jimmy Jones), is an American rapper Jones from Harlem, New York. He is an original member of hip hop collective The Diplomats (also known as Dipset).",https://en.wikipedia.org/wiki/Jim_Jones_(rapper),1976-07-15T00:00:00.000Z,,1997,,https://www.youtube.com/embed/0QIy2jqAuXU,,
Yowda,Las Vegas,,"-115.158482, 36.200241",rapper,"YOWDA aka KING YOWDA is an American rapper from Las Vegas, Nevada.",https://genius.com/artists/Yowda,,,2014,,https://www.youtube.com/embed/KSoDrrs589Y,,
Pries,Denver,,"-104.9305417, 39.7578501",producer / dj,"Pries is an american rapper from Denver, Colorado.",,,,2012,,https://www.youtube.com/embed/eWaWfNMxdOI,rapper,
Moss,Denver,,"-104.9843457, 39.7162271",rapper,Moss is an American rapper from Denver.,,,,2008,,https://www.youtube.com/embed/N6KbFlsaabc,,
Maxilla Blue,Des Moines,,"-93.6280667, 41.583062",group,"Maxilla Blue is an American hip hop trio based out of Des Moines, Iowa formed in 2006, consisting of the Emcee Asphate Woodhavet, Turntablist Dj TouchNice, and Hip hop producer Aeon Grey. ",https://en.wikipedia.org/wiki/Maxilla_Blue,,,2006,,https://www.youtube.com/embed/ZO4fcaBqcqk,,
Dizzy Wright,Las Vegas,,"-115.1136207, 36.1918403",rapper,"La'Reonte Wright (born November 26, 1990) is an American rapper better known by his stage name Dizzy Wright from Las Vegas, Nevada. ",https://en.wikipedia.org/wiki/Dizzy_Wright,1990-11-26T00:00:00.000Z,,2010,,https://www.youtube.com/embed/B3CCGvcQk4o,,
Kevin Fret,Rio Piedras,,"-66.0521647, 18.3978871",rapper,"Kevin Fret (June 11, 1993 %u2013 January 10, 2019) was a Puerto Rican rapper, singer and the first openly gay Latin trap artist. He was known for his gender-variant looks. In 2019 he was murdered. ",https://en.wikipedia.org/wiki/Kevin_Fret,1993-06-11T00:00:00.000Z,2019-01-10T00:00:00.000Z,2016,2019.0,https://www.youtube.com/embed/H7-gSwvoo8M,,
Feis,Rotterdam,,"4.4466383, 51.9177003",rapper,"Faisal Mssyeh (25 January 1986 %u2013 1 January 2019), known professionally as Feis, was a Dutch rapper from Rotterdam. In 2019 he was fatally shot. ",https://en.wikipedia.org/wiki/Feis_Ecktuh,1986-01-25T00:00:00.000Z,2019-01-01T00:00:00.000Z,2007,2019.0,https://www.youtube.com/embed/O4T-AplOnto,,
Young Greatness,New Orleans,,"-90.0996067, 29.9718166",rapper,"Theodore Joseph Jones III (September 19, 1984 %u2013 October 29, 2018), better known by his stage name Young Greatness, was an American rapper best known for his 2015 single ""Moolah"". He was shot and killed in 2018.",https://en.wikipedia.org/wiki/Young_Greatness,1984-09-19T00:00:00.000Z,2018-10-29T00:00:00.000Z,2012,2018.0,https://www.youtube.com/embed/8NHerdv71w4,,
3-2,Houston,,"-95.3282917, 29.7968656",rapper,"Christopher Juel Barriere (July 11, 1972 %u2013 November 10, 2016), professionally known as 3-2, was an American rapper from Houston, Texas. He was a member of the Screwed Up Click. Barriere was fatally shot in 2016. ",https://en.wikipedia.org/wiki/3-2,1972-07-11T00:00:00.000Z,2016-11-10T00:00:00.000Z,1991,2016.0,https://www.youtube.com/embed/a4TI8hmY-lg,,
